Start frame;End frame;Winner (T, B, N)
203218;203243;N
203630;203805;T
204373;204397;N
204716;204886;T
205345;205600;T
206023;206127;T
207430;207634;T
207996;208151;T
208485;208887;T
209353;209601;T
210418;210430;N
210728;210881;B
211343;211670;T
212101;212216;T
212677;212981;T
213621;213825;T
216836;216849;N
217018;217538;B
218031;218492;T
219098;219407;B
221098;221122;N
221515;221593;T
221967;222191;B
222586;222716;B
223416;223445;T
223781;223960;B
224643;224734;B
225530;225543;N
225819;226193;T
226689;226832;T
227408;227613;T
230962;231352;B
231917;231945;N
232262;232509;T
232931;233135;T
233626;234164;B
234904;235046;T
235600;235864;T
236800;236887;B
237393;237443;B
237714;237809;B
238227;238340;B
242137;242484;B
242956;243118;T
243711;243843;B
244319;244425;T
244989;245094;B
245530;245742;T
246525;246876;B
247717;247840;T
248151;248642;T
248979;249133;T
249505;249694;T
253396;253648;B
254028;254410;T
255052;255145;B
255655;256147;B
256722;256971;T
257493;257960;B
259013;259232;B
259754;259896;B
260479;260985;T
261887;262132;T
262772;262863;B
263599;263903;B
267270;267511;T
268152;268334;B
270207;270220;N
270417;270725;T
271132;271376;B
271870;272231;B
272900;273303;T
273996;274410;T
278613;278746;T
279085;279346;T
279677;279980;B
280513;280526;N
280932;281158;T
281710;281828;B
282297;282330;T
283935;284444;B
286077;286216;B
286570;286858;B
287277;287646;B
288514;288583;B
289142;289233;B
289541;289829;B
290396;290844;T
291746;291878;T
292560;292657;B
296089;296375;T
296811;296861;B
297129;297238;B
297520;297580;B
298162;298293;B
299533;299674;T
299988;300001;N
300267;300281;N
300640;300849;T
301454;301485;T
301942;302140;B
302691;302723;T
305636;305895;T
306129;306253;T
306789;306965;T
307425;307635;B
308147;308537;T
309670;309704;B
310049;310230;B
310612;310856;B
311158;311303;B
314481;314949;B
315259;315641;B
315951;316094;B
316401;316510;B
317409;317617;T
317987;318015;N
318419;318622;B
319287;319617;B
320489;320651;T
321256;321706;T
322437;322587;T
